508360	Paano mo sabihin ang "paalam" sa Aleman?	464137	How do you say "good bye" in German?
508363	Diyos ang lumikha sa mundo.	269624	God created the world.
508366	Kamusta ka na?	25095	 How are you?
508366	Tara na agad	456357	Let's go now
508369	Kumain ka na?	245368	Have you eaten yet?
508369	Paano ang tanggapan?	1122160	What about the office?
508372	Magdadala ako sa iyo doon.	50925	I'll take you there.
513820	Kumusta po kayo?	373320	How are you?
532202	Sila’y isinilang na may budhi at katwiran	338182	They were born with a conscience and reason.
642234	Pakiusap, intindihin mo na lang ang trabaho mo.	1122152	Just mind your own business, please.
719101	Natutulog nang magalit ang mga ideyang walang kulay at kulay berde.	702472	Colorless green ideas sleep furiously.
743673	Siya ay nagbebenta ng gamot sa botika.	462390	She sells medicine in the pharmacy.
743674	Nais kong maging kaibigan si Nancy.	321676	I want to make friends with Nancy.
743675	Nagsasaulo siya ng sampung salitang Ingles kada araw.	288448	He memorized ten English words a day.
743676	Huwag kang mag-alala, magpakasaya ka!	1800	Don't worry, be happy!
743677	Gumaling sa sipnayan ang anak ko ngayong taon na ito.	274414	My son's ability at math has improved this year.
743678	Naglakad ako papunta sa parke.	240443	I walked toward the park.
743679	Ano’ng araw magsisimula?	62809	What day does it start?
743681	Ano'ng klaseng trabaho ang papasukan mo?	36647	What kind of work will you do?
743682	Sampung taon na ang nakalipas mula nang dumating ako sa Tokyo.	246964	It is ten years since I came to Tokyo.
743684	Mukhang 19 taong gulang iyong mestiza na iyon.	46146	The girl with fair skin passes for nineteen.
743685	Masama ang timpla ngayon.	35776	The mixture is bad now.
743687	Sampung taong gulang ako ngayon.		I am ten years old now.
743688	Kahit umulan, nananatili siya sa paaralan.	301100	Even though it rains, he stays at school.
743689	May asong sumunod sa akin sa paaralan.	239107	A dog followed me to my school.
743690	Hindi niya kailangang magtrabaho.	419110	She doesn't need to work.
743690	Hindi niya kailangang magtrabaho.	503772	He doesn't need to work.
743692	Pagod siya sa kakalakad sa mga museo.	303040	He was tired from walking round museums.
743694	Ano'ng klase ng karne ang ihinahain niyo?	281032	What kinds of meat dishes do you serve?
743696	Sigurado akong magreretiro siya sa trabaho niya. 	283685	I am certain that he will quit his job.
743697	Sinasabi nila na iwasan ang tsismis.	373201	They say to avoid gossip.
743698	Ayaw mo bang pumunta sa salusalo?	35685	Don't you want to go to the party?
743699	Madalas silang nag-uusap, harap-harapan at sa pamamagitan ng telepono.	305044	They talk a lot to one another, over the telephone and in person.
743700	Sigurado siya na ayaw mong pumunta sa salusalo.	He is sure that you don’t want to go to the party.
743701	Hindi siya nakarating kahapon.	296920	He failed to come yesterday.
743702	Noon ay sampung taong gulang lang siya.	290940	He was then a boy of ten.
743703	Hindi mo masasabi kung gaano katagal itong mga pagpupulong na ito.	716493	You can never tell how long these meetings will last.
743704	Dumating kami sa paliparan tatlong oras bago ang paglipad.	680145	We arrived at the airport three hours before our flight.
743706	Makikiraan po.	280432	Make way, please.
743707	Gusto ng lahat ang kaligayahan.	276425	Everybody desires happiness.
743708	Ang balita ko nagkasakit ka raw.	318395	I've heard you've been sick.
743709	Wala akong oras para kumuha ng iba pang estudyante.	31635	I don't have time to take any more pupils.
743710	Maraming bata ang nananatili sa samahan kahit umulan.	320999	Many children stay in the group even when it rains.
743711	Bumalik ka bago mag ika-10.	73419	You must be back before ten.
743712	Wala akong kaligayahan kahit bumalik ka.	I have no happiness even if you return.
743713	Hindi siya nakarating sa samahan kahapon.	He did not arrive at the group yesterday.
743714	Hoy, iwasan mo yung tsismis ngayon.	733759	Hey, avoid gossiping now.
743715	Iwasan ng maraming bata ang samahan.	Many children avoid the group.
743716	Nabigyan siya ng pag-asa dahil doon.	290922	He took hope from that fact.
743717	Kailangan ng pintura ng bahay mo.	70795	Your house needs painting.
743718	Kailangan mo ng oras para bumalik sa samahan.	You need time to return to the group.
743720	Bago umulan, bumalik ka sa samahan.	Return to the group before it rains.
743721	Magsulat ng sanaysay tungkol sa "Pagkakaibigan".	73517	Write an essay on "Friendship".
743722	Maagang umalis ang barko.	273465	The ship left ahead of time.
743723	Ano'ng pangalan ng pahina sa web mo?	687476	What's the name of your web page?
743724	Hoy, magsulat ka ng sanaysay tungkol sa barko.	Hey, write an essay about the ship.
743725	Pakiramdam ko’y nananatili siya sa paaralan.	293826	I feel like he's staying at school.
743726	30 taon na siyang nagtatrabaho para sa kapakanan ng kanyang taong-bayan.	288523	He has worked for the welfare of his people for 30 years.
743727	Bumili ako ng kamera, pero nawala ko sa sumunod na araw.	253344	I bought a camera, but I lost it the next day.
743728	Bumalik ako ng sanaysay sa paaralan.	I returned the essay to the school.
743729	Huwag mo kalimutang magdala ng payong.	569828	Don't forget to take an umbrella with you.
743730	Hoy, huwag mo kalimutang magsulat ng sanaysay.	Hey, don't forget to write the essay.
743731	Atin-atin lang ito.	55934	This is just among ourselves.
743755	Ang putla niya. Baka may sakit siya.	313085	She looks pale. She may have been Ill.
743757	Natapos mo na bang basahin ang dyaryo ngayong araw?	242599	Have you finished reading today's paper yet?
743758	Huwag mo kalimutang basahin ang sanaysay ngayong araw.	Don't forget to read the essay today.
743759	Mas mainit-init na.	51944	It has become much warmer.
743761	Ang sabi niya, "Ayaw kong gumawa ng palusot, kaya wala na akong sasabihin pa."	73893	He said, "I will say nothing more, because I hate making excuses."
743763	Pakibagalan niyo po ang inyong pagsasalita.	1707	Speak more slowly, please!
743765	Sa tingin ko OK lang.	433884	I think it's OK.
743766	Ipinakilala niya sa akin ang anak niyang babae.	304034	He introduced his daughter to me.
743767	Maraming batang lalaki ang pumunta sa digmaan.	274864	Many young men went to war.
743769	Huwag mo kalimutang pumunta sa paaralan.	Don't forget to go to school.
743772	Maraming uri ng kape.	573115	There are various kinds of coffee.
743778	Maraming kaakit-akit na hayop sa Australia.	65154	There are many interesting animals in Australia.
743780	Magpapalaki ako ng maraming puno rito.	61814	I will grow many trees here.
743781	Wala akong tiwala sa kanya.	250086	As for me, I don't trust him at all.
743782	Nakuha mo ba?	61476	Got the hang of it?
743784	Mukhang nabigo siya sa kanyang anak.	434004	He seems disappointed in his son.
743787	Talunin natin ang Hapon!	448644	Let's beat Japan!
743788	Lagi na lang siyang humihiram ng pera sa akin.	290158	He was constantly borrowing money from me.
743790	Itong-ito ang hinahanap niya.	288059	He was looking for this very thing.
743791	Mahilig magbasa ang lolo ko.	251352	My grandfather is very fond of reading.
743794	Mahiyain siya noong hayskul pa lang siya.	313628	She was shy in her high school days.
743796	Magsisimula ako pagdating niya.	282977	I will start after he comes.
743798	Mahina siya sa sipnayan.	271017	Mathematics is her weak point.
743799	Lalabas ang katotohanan.	269580	The truth will come out one day.
743800	Maglalayag ang eroplano sa ika-5.	67851	That plane will take off at five.
743801	Sinunog ang aso hanggang mamatay ito.	48239	The dog was burnt to death.
743802	Hindi ko alam na galing pala sa binhi ang puno ng mansanas.	29625	I didn't know apple trees grow from seeds.
743803	Hindi ka makakaasa sa kanya.	299806	He can be relied on.
743804	Sinuwerte siya at nanalo sa lotto.	673205	She beat the odds and won the lottery.
743805	Nakita ko 'yong taong pumasok sa silid.	254545	I saw the man enter the room.
743806	May asong biglang dumamba sa akin.	239125	A dog suddenly jumped at me.
743807	Sino'ng darating?	619673	Who is coming?
743808	Magaling na atleta si Ken.	238894	Ken is quite an athlete.
743810	Nakita ko ang asong dumamba sa silid.	239126	I saw the dog jump into the room.
743811	Naglakad ako nang mabilis para maabutan ang unang tren.	27240	I walked quickly so that I might catch the first train.
743812	Huwag mo kalimutang magdala ng kape.	Don't forget to take coffee.
743813	Nakita ko ang anak niyang babae.	I saw his daughter.
