Original Tagalog,Tokens,Reference English,Parsed,Parsed Tree (Compact),Parsed Tree (Pretty Single Line),Rewritten Tree (Compact),Rewritten Tree (Pretty Single Line),Rewritten Tagalog Text,Simple Lexical Translation
Huwag mo kalimutang basahin ang sanaysay ngayong araw.,huwag mo kalimutang basahin ang sanaysay ngayong araw.,nan,True,"(S
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V basahin))
  (NP (NP (NP (DET ang) (N sanaysay)) (Adv ngayong)) (N araw.)))",(S  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V basahin))  (NP (NP (NP (DET ang) (N sanaysay)) (Adv ngayong)) (N araw.))),"(S
  (NP (NP (NP (DET ang) (N sanaysay)) (Adv ngayong)) (N araw.))
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V basahin)))",(S  (NP (NP (NP (DET ang) (N sanaysay)) (Adv ngayong)) (N araw.))  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V basahin))),ang sanaysay ngayong araw. huwag mo kalimutang basahin,[ang] essay this [araw.] don't you/your forget read
Mas mainit-init na.,mas mainit-init na.,It has become much warmer.,True,(S (Adj (Adv mas) (Adj mainit-init)) (NP (N na.))),(S (Adj (Adv mas) (Adj mainit-init)) (NP (N na.))),(S (Adj (Adv mas) (Adj mainit-init)) (NP (N na.))),(S (Adj (Adv mas) (Adj mainit-init)) (NP (N na.))),mas mainit-init na.,More warmer [na.]
"Ang sabi niya, ""Ayaw kong gumawa ng palusot, kaya wala na akong sasabihin pa.""","ang sabi niya, ""ayaw kong gumawa ng palusot, kaya wala na akong sasabihin pa.""","He said, ""I will say nothing more, because I hate making excuses.""",True,"(S
  (NP (NP (NP (DET ang) (N sabi)) (N niya,)) (N ""ayaw))
  (NP (NP (Pronoun kong)) (N gumawa))
  (PP
    (P ng)
    (NP (N palusot,))
    (CONJ kaya)
    (NP
      (Adj (Adj (Adj wala) (Particle na)) (NP (Pronoun akong)))
      (NP (NP (N sasabihin)) (N pa."")))))","(S  (NP (NP (NP (DET ang) (N sabi)) (N niya,)) (N ""ayaw))  (NP (NP (Pronoun kong)) (N gumawa))  (PP   (P ng)   (NP (N palusot,))   (CONJ kaya)   (NP    (Adj (Adj (Adj wala) (Particle na)) (NP (Pronoun akong)))    (NP (NP (N sasabihin)) (N pa."")))))","(S
  (NP (NP (NP (DET ang) (N sabi)) (N niya,)) (N ""ayaw))
  (NP (NP (Pronoun kong)) (N gumawa))
  (PP
    (P ng)
    (NP (N palusot,))
    (CONJ kaya)
    (NP
      (Adj (Adj (Adj wala) (Particle na)) (NP (Pronoun akong)))
      (NP (NP (N sasabihin)) (N pa."")))))","(S  (NP (NP (NP (DET ang) (N sabi)) (N niya,)) (N ""ayaw))  (NP (NP (Pronoun kong)) (N gumawa))  (PP   (P ng)   (NP (N palusot,))   (CONJ kaya)   (NP    (Adj (Adj (Adj wala) (Particle na)) (NP (Pronoun akong)))    (NP (NP (N sasabihin)) (N pa."")))))","ang sabi niya, ""ayaw kong gumawa ng palusot, kaya wala na akong sasabihin pa.""","[ang] [sabi] [niya,] [""ayaw] my [gumawa] of [palusot,] so/maybe/can none/don't have/lacking now/already i [sasabihin] [pa.""]"
Pakibagalan niyo po ang inyong pagsasalita.,pakibagalan niyo po ang inyong pagsasalita.,"Speak more slowly, please!",True,"(S
  (NP (N pakibagalan))
  (NP
    (NP (NP (Pronoun niyo)) (Particle po) (NP (DET ang) (N inyong)))
    (N pagsasalita.)))",(S  (NP (N pakibagalan))  (NP   (NP (NP (Pronoun niyo)) (Particle po) (NP (DET ang) (N inyong)))   (N pagsasalita.))),"(S
  (NP (N pakibagalan))
  (NP
    (NP (NP (Pronoun niyo)) (Particle po) (NP (DET ang) (N inyong)))
    (N pagsasalita.)))",(S  (NP (N pakibagalan))  (NP   (NP (NP (Pronoun niyo)) (Particle po) (NP (DET ang) (N inyong)))   (N pagsasalita.))),pakibagalan niyo po ang inyong pagsasalita.,[pakibagalan] you(pl)/your(pl) [po] [ang] [inyong] [pagsasalita.]
Sa tingin ko OK lang.,sa tingin ko ok lang.,I think it's OK.,True,"(S
  (NP (P sa) (N tingin))
  (NP (NP (NP (Pronoun ko)) (N ok)) (N lang.)))",(S  (NP (P sa) (N tingin))  (NP (NP (NP (Pronoun ko)) (N ok)) (N lang.))),"(S
  (NP (P sa) (N tingin))
  (NP (NP (NP (Pronoun ko)) (N ok)) (N lang.)))",(S  (NP (P sa) (N tingin))  (NP (NP (NP (Pronoun ko)) (N ok)) (N lang.))),sa tingin ko ok lang.,To/at/in opinion/look [ko] [ok] [lang.]
Ipinakilala niya sa akin ang anak niyang babae.,ipinakilala niya sa akin ang anak niyang babae.,He introduced his daughter to me.,True,"(S
  (NP
    (NP (N ipinakilala) (Pronoun niya))
    (PP (P sa) (NP (Pronoun akin))))
  (NP (NP (DET ang) (N anak) (Pronoun niyang)) (N babae.)))",(S  (NP   (NP (N ipinakilala) (Pronoun niya))   (PP (P sa) (NP (Pronoun akin))))  (NP (NP (DET ang) (N anak) (Pronoun niyang)) (N babae.))),"(S
  (NP
    (NP (N ipinakilala) (Pronoun niya))
    (PP (P sa) (NP (Pronoun akin))))
  (NP (NP (DET ang) (N anak) (Pronoun niyang)) (N babae.)))",(S  (NP   (NP (N ipinakilala) (Pronoun niya))   (PP (P sa) (NP (Pronoun akin))))  (NP (NP (DET ang) (N anak) (Pronoun niyang)) (N babae.))),ipinakilala niya sa akin ang anak niyang babae.,[ipinakilala] his/her to/at/in my/mine [ang] child/son/daughter his/her [babae.]
Maraming batang lalaki ang pumunta sa digmaan.,maraming batang lalaki ang pumunta sa digmaan.,Many young men went to war.,True,"(S
  (Adj
    (Adj (Adj maraming) (NP (NP (N batang)) (N lalaki)))
    (NP (DET ang) (V pumunta)))
  (NP (P sa) (N digmaan.)))",(S  (Adj   (Adj (Adj maraming) (NP (NP (N batang)) (N lalaki)))   (NP (DET ang) (V pumunta)))  (NP (P sa) (N digmaan.))),"(S
  (Adj
    (Adj (Adj maraming) (NP (NP (N batang)) (N lalaki)))
    (NP (DET ang) (V pumunta)))
  (NP (P sa) (N digmaan.)))",(S  (Adj   (Adj (Adj maraming) (NP (NP (N batang)) (N lalaki)))   (NP (DET ang) (V pumunta)))  (NP (P sa) (N digmaan.))),maraming batang lalaki ang pumunta sa digmaan.,Many [batang] man/male [ang] went to/at/in [digmaan.]
Huwag mo kalimutang pumunta sa paaralan.,huwag mo kalimutang pumunta sa paaralan.,nan,True,"(S
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V pumunta))
  (NP (P sa) (N paaralan.)))",(S  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V pumunta))  (NP (P sa) (N paaralan.))),"(S
  (NP (P sa) (N paaralan.))
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V pumunta)))",(S  (NP (P sa) (N paaralan.))  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V pumunta))),sa paaralan. huwag mo kalimutang pumunta,To/at/in [paaralan.] don't you/your forget went
Maraming uri ng kape.,maraming uri ng kape.,There are various kinds of coffee.,True,(S (NP (Adj maraming) (N uri)) (NP (P ng) (N kape.))),(S (NP (Adj maraming) (N uri)) (NP (P ng) (N kape.))),(S (NP (Adj maraming) (N uri)) (NP (P ng) (N kape.))),(S (NP (Adj maraming) (N uri)) (NP (P ng) (N kape.))),maraming uri ng kape.,Many type/kind of [kape.]
Maraming kaakit-akit na hayop sa Australia.,maraming kaakit-akit na hayop sa australia.,There are many interesting animals in Australia.,True,"(S
  (Adj
    (Adj maraming)
    (NP (Adj (Adj kaakit-akit) (Particle na)) (N hayop)))
  (NP (P sa) (N australia.)))",(S  (Adj   (Adj maraming)   (NP (Adj (Adj kaakit-akit) (Particle na)) (N hayop)))  (NP (P sa) (N australia.))),"(S
  (Adj
    (Adj maraming)
    (NP (Adj (Adj kaakit-akit) (Particle na)) (N hayop)))
  (NP (P sa) (N australia.)))",(S  (Adj   (Adj maraming)   (NP (Adj (Adj kaakit-akit) (Particle na)) (N hayop)))  (NP (P sa) (N australia.))),maraming kaakit-akit na hayop sa australia.,Many interesting now/already animal to/at/in [australia.]
Magpapalaki ako ng maraming puno rito.,magpapalaki ako ng maraming puno rito.,I will grow many trees here.,True,"(S
  (V magpapalaki)
  (NP (Pronoun ako))
  (PP (P ng) (NP (Adj (Adj maraming) (NP (N puno))) (N rito.))))",(S  (V magpapalaki)  (NP (Pronoun ako))  (PP (P ng) (NP (Adj (Adj maraming) (NP (N puno))) (N rito.)))),"(S
  (V magpapalaki)
  (NP (Pronoun ako))
  (PP (P ng) (NP (Adj (Adj maraming) (NP (N puno))) (N rito.))))",(S  (V magpapalaki)  (NP (Pronoun ako))  (PP (P ng) (NP (Adj (Adj maraming) (NP (N puno))) (N rito.)))),magpapalaki ako ng maraming puno rito.,Will grow i of many tree/full [rito.]
Wala akong tiwala sa kanya.,wala akong tiwala sa kanya.,"As for me, I don't trust him at all.",True,"(S
  (NP (NP (Adj wala) (NP (Pronoun akong))) (N tiwala))
  (NP (P sa) (N kanya.)))",(S  (NP (NP (Adj wala) (NP (Pronoun akong))) (N tiwala))  (NP (P sa) (N kanya.))),"(S
  (NP (NP (Adj wala) (NP (Pronoun akong))) (N tiwala))
  (NP (P sa) (N kanya.)))",(S  (NP (NP (Adj wala) (NP (Pronoun akong))) (N tiwala))  (NP (P sa) (N kanya.))),wala akong tiwala sa kanya.,None/don't have/lacking i trust to/at/in [kanya.]
Nakuha mo ba?,nakuha mo ba?,Got the hang of it?,True,(S (V nakuha) (NP (NP (Pronoun mo)) (N ba?))),(S (V nakuha) (NP (NP (Pronoun mo)) (N ba?))),(S (V nakuha) (NP (NP (Pronoun mo)) (N ba?))),(S (V nakuha) (NP (NP (Pronoun mo)) (N ba?))),nakuha mo ba?,Got you/your [ba?]
Mukhang nabigo siya sa kanyang anak.,mukhang nabigo siya sa kanyang anak.,He seems disappointed in his son.,True,"(S
  (Adj mukhang)
  (VP (V nabigo))
  (NP
    (NP (NP (Pronoun siya)) (PP (P sa) (NP (Pronoun kanyang))))
    (N anak.)))",(S  (Adj mukhang)  (VP (V nabigo))  (NP   (NP (NP (Pronoun siya)) (PP (P sa) (NP (Pronoun kanyang))))   (N anak.))),"(S
  (Adj mukhang)
  (VP (V nabigo))
  (NP
    (NP (NP (Pronoun siya)) (PP (P sa) (NP (Pronoun kanyang))))
    (N anak.)))",(S  (Adj mukhang)  (VP (V nabigo))  (NP   (NP (NP (Pronoun siya)) (PP (P sa) (NP (Pronoun kanyang))))   (N anak.))),mukhang nabigo siya sa kanyang anak.,Looks/seems failed/disappointed he/she to/at/in his/her [anak.]
Talunin natin ang Hapon!,talunin natin ang hapon!,Let's beat Japan!,True,(S (V talunin) (NP (Pronoun natin)) (NP (DET ang) (N hapon!))),(S (V talunin) (NP (Pronoun natin)) (NP (DET ang) (N hapon!))),(S (V talunin) (NP (Pronoun natin)) (NP (DET ang) (N hapon!))),(S (V talunin) (NP (Pronoun natin)) (NP (DET ang) (N hapon!))),talunin natin ang hapon!,Defeat/beat our (incl.) [ang] [hapon!]
Lagi na lang siyang humihiram ng pera sa akin.,lagi na lang siyang humihiram ng pera sa akin.,He was constantly borrowing money from me.,True,"(S
  (NP
    (NP (NP (N lagi)) (Adv na))
    (Particle lang)
    (NP
      (NP (NP (Pronoun siyang)) (V humihiram))
      (PP (P ng) (N pera))))
  (NP (P sa) (N akin.)))",(S  (NP   (NP (NP (N lagi)) (Adv na))   (Particle lang)   (NP    (NP (NP (Pronoun siyang)) (V humihiram))    (PP (P ng) (N pera))))  (NP (P sa) (N akin.))),"(S
  (NP
    (NP (NP (N lagi)) (Adv na))
    (Particle lang)
    (NP
      (NP (NP (Pronoun siyang)) (V humihiram))
      (PP (P ng) (N pera))))
  (NP (P sa) (N akin.)))",(S  (NP   (NP (NP (N lagi)) (Adv na))   (Particle lang)   (NP    (NP (NP (Pronoun siyang)) (V humihiram))    (PP (P ng) (N pera))))  (NP (P sa) (N akin.))),lagi na lang siyang humihiram ng pera sa akin.,[lagi] now/already only/just he/she borrowing of money to/at/in [akin.]
Itong-ito ang hinahanap niya.,itong-ito ang hinahanap niya.,He was looking for this very thing.,True,(S (NP (N itong-ito)) (NP (NP (DET ang) (V hinahanap)) (N niya.))),(S (NP (N itong-ito)) (NP (NP (DET ang) (V hinahanap)) (N niya.))),(S (NP (N itong-ito)) (NP (NP (DET ang) (V hinahanap)) (N niya.))),(S (NP (N itong-ito)) (NP (NP (DET ang) (V hinahanap)) (N niya.))),itong-ito ang hinahanap niya.,[itong-ito] [ang] looking for [niya.]
Mahilig magbasa ang lolo ko.,mahilig magbasa ang lolo ko.,My grandfather is very fond of reading.,True,(S (VP (V mahilig) (V magbasa)) (NP (NP (DET ang) (N lolo)) (N ko.))),(S (VP (V mahilig) (V magbasa)) (NP (NP (DET ang) (N lolo)) (N ko.))),(S (NP (NP (DET ang) (N lolo)) (N ko.)) (VP (V mahilig) (V magbasa))),(S (NP (NP (DET ang) (N lolo)) (N ko.)) (VP (V mahilig) (V magbasa))),ang lolo ko. mahilig magbasa,[ang] grandfather [ko.] fond of reading
Mahiyain siya noong hayskul pa lang siya.,mahiyain siya noong hayskul pa lang siya.,She was shy in her high school days.,True,"(S
  (V mahiyain)
  (NP (Pronoun siya))
  (NP
    (NP (Adv noong) (NP (NP (NP (N hayskul)) (Adv pa)) (Adv lang)))
    (N siya.)))",(S  (V mahiyain)  (NP (Pronoun siya))  (NP   (NP (Adv noong) (NP (NP (NP (N hayskul)) (Adv pa)) (Adv lang)))   (N siya.))),"(S
  (V mahiyain)
  (NP (Pronoun siya))
  (NP
    (NP (Adv noong) (NP (NP (NP (N hayskul)) (Adv pa)) (Adv lang)))
    (N siya.)))",(S  (V mahiyain)  (NP (Pronoun siya))  (NP   (NP (Adv noong) (NP (NP (NP (N hayskul)) (Adv pa)) (Adv lang)))   (N siya.))),mahiyain siya noong hayskul pa lang siya.,Shy he/she then (past) [hayskul] yet/still only/just [siya.]
Magsisimula ako pagdating niya.,magsisimula ako pagdating niya.,I will start after he comes.,True,"(S
  (V magsisimula)
  (NP (Pronoun ako))
  (NP (NP (N pagdating)) (N niya.)))",(S  (V magsisimula)  (NP (Pronoun ako))  (NP (NP (N pagdating)) (N niya.))),"(S
  (V magsisimula)
  (NP (Pronoun ako))
  (NP (NP (N pagdating)) (N niya.)))",(S  (V magsisimula)  (NP (Pronoun ako))  (NP (NP (N pagdating)) (N niya.))),magsisimula ako pagdating niya.,Will start i [pagdating] [niya.]
Mahina siya sa sipnayan.,mahina siya sa sipnayan.,Mathematics is her weak point.,True,(S (V mahina) (NP (Pronoun siya)) (NP (P sa) (N sipnayan.))),(S (V mahina) (NP (Pronoun siya)) (NP (P sa) (N sipnayan.))),(S (V mahina) (NP (Pronoun siya)) (NP (P sa) (N sipnayan.))),(S (V mahina) (NP (Pronoun siya)) (NP (P sa) (N sipnayan.))),mahina siya sa sipnayan.,Weak he/she to/at/in [sipnayan.]
Lalabas ang katotohanan.,lalabas ang katotohanan.,The truth will come out one day.,True,(S (VP (V lalabas) (DET ang) (N katotohanan.))),(S (VP (V lalabas) (DET ang) (N katotohanan.))),(S (VP (V lalabas) (DET ang) (N katotohanan.))),(S (VP (V lalabas) (DET ang) (N katotohanan.))),lalabas ang katotohanan.,Will come out [ang] [katotohanan.]
Maglalayag ang eroplano sa ika-5.,maglalayag ang eroplano sa ika-5.,That plane will take off at five.,True,(S (VP (V maglalayag) (DET ang) (N eroplano)) (NP (P sa) (N ika-5.))),(S (VP (V maglalayag) (DET ang) (N eroplano)) (NP (P sa) (N ika-5.))),(S (NP (P sa) (N ika-5.)) (VP (V maglalayag) (DET ang) (N eroplano))),(S (NP (P sa) (N ika-5.)) (VP (V maglalayag) (DET ang) (N eroplano))),sa ika-5. maglalayag ang eroplano,To/at/in [ika-5.] will sail/take off [ang] airplane
Sinunog ang aso hanggang mamatay ito.,sinunog ang aso hanggang mamatay ito.,The dog was burnt to death.,True,"(S
  (V sinunog)
  (NP
    (NP (NP (DET ang) (N aso)) (PP (P hanggang) (V mamatay)))
    (N ito.)))",(S  (V sinunog)  (NP   (NP (NP (DET ang) (N aso)) (PP (P hanggang) (V mamatay)))   (N ito.))),"(S
  (V sinunog)
  (NP
    (NP (NP (DET ang) (N aso)) (PP (P hanggang) (V mamatay)))
    (N ito.)))",(S  (V sinunog)  (NP   (NP (NP (DET ang) (N aso)) (PP (P hanggang) (V mamatay)))   (N ito.))),sinunog ang aso hanggang mamatay ito.,Burned [ang] dog until/up to die [ito.]
Hindi ko alam na galing pala sa binhi ang puno ng mansanas.,hindi ko alam na galing pala sa binhi ang puno ng mansanas.,I didn't know apple trees grow from seeds.,True,"(S
  (NP
    (Adv hindi)
    (NP
      (NP (NP (NP (NP (Pronoun ko)) (V alam)) (Adv na)) (V galing))
      (Particle pala)
      (NP (P sa) (N binhi))))
  (NP (DET ang) (N puno))
  (PP (P ng) (N mansanas.)))",(S  (NP   (Adv hindi)   (NP    (NP (NP (NP (NP (Pronoun ko)) (V alam)) (Adv na)) (V galing))    (Particle pala)    (NP (P sa) (N binhi))))  (NP (DET ang) (N puno))  (PP (P ng) (N mansanas.))),"(S
  (NP
    (Adv hindi)
    (NP
      (NP (NP (NP (NP (Pronoun ko)) (V alam)) (Adv na)) (V galing))
      (Particle pala)
      (NP (P sa) (N binhi))))
  (NP (DET ang) (N puno))
  (PP (P ng) (N mansanas.)))",(S  (NP   (Adv hindi)   (NP    (NP (NP (NP (NP (Pronoun ko)) (V alam)) (Adv na)) (V galing))    (Particle pala)    (NP (P sa) (N binhi))))  (NP (DET ang) (N puno))  (PP (P ng) (N mansanas.))),hindi ko alam na galing pala sa binhi ang puno ng mansanas.,Not [ko] know now/already from (particle indicating realization) to/at/in seed [ang] tree/full of [mansanas.]
Hindi ka makakaasa sa kanya.,hindi ka makakaasa sa kanya.,He can be relied on.,True,"(S
  (NP (Adv hindi) (NP (Pronoun ka)))
  (V makakaasa)
  (NP (P sa) (N kanya.)))",(S  (NP (Adv hindi) (NP (Pronoun ka)))  (V makakaasa)  (NP (P sa) (N kanya.))),"(S
  (NP (Adv hindi) (NP (Pronoun ka)))
  (V makakaasa)
  (NP (P sa) (N kanya.)))",(S  (NP (Adv hindi) (NP (Pronoun ka)))  (V makakaasa)  (NP (P sa) (N kanya.))),hindi ka makakaasa sa kanya.,Not you can expect/rely to/at/in [kanya.]
Sinuwerte siya at nanalo sa lotto.,sinuwerte siya at nanalo sa lotto.,She beat the odds and won the lottery.,True,"(S
  (V sinuwerte)
  (NP (NP (Pronoun siya)) (CONJ at) (NP (N nanalo)))
  (NP (P sa) (N lotto.)))",(S  (V sinuwerte)  (NP (NP (Pronoun siya)) (CONJ at) (NP (N nanalo)))  (NP (P sa) (N lotto.))),"(S
  (V sinuwerte)
  (NP (NP (Pronoun siya)) (CONJ at) (NP (N nanalo)))
  (NP (P sa) (N lotto.)))",(S  (V sinuwerte)  (NP (NP (Pronoun siya)) (CONJ at) (NP (N nanalo)))  (NP (P sa) (N lotto.))),sinuwerte siya at nanalo sa lotto.,Got lucky he/she and [nanalo] to/at/in [lotto.]
Nakita ko 'yong taong pumasok sa silid.,nakita ko 'yong taong pumasok sa silid.,I saw the man enter the room.,True,"(S
  (VP
    (V nakita)
    (NP (NP (NP (Pronoun ko)) (N 'yong)) (N taong))
    (V pumasok))
  (NP (P sa) (N silid.)))",(S  (VP   (V nakita)   (NP (NP (NP (Pronoun ko)) (N 'yong)) (N taong))   (V pumasok))  (NP (P sa) (N silid.))),"(S
  (NP (P sa) (N silid.))
  (VP
    (V nakita)
    (NP (NP (NP (Pronoun ko)) (N 'yong)) (N taong))
    (V pumasok)))",(S  (NP (P sa) (N silid.))  (VP   (V nakita)   (NP (NP (NP (Pronoun ko)) (N 'yong)) (N taong))   (V pumasok))),sa silid. nakita ko 'yong taong pumasok,To/at/in [silid.] saw [ko] ['yong] person entered/went
May asong biglang dumamba sa akin.,may asong biglang dumamba sa akin.,A dog suddenly jumped at me.,True,"(S
  (VP (V may) (NP (NP (N asong)) (Adv biglang)) (V dumamba))
  (NP (P sa) (N akin.)))",(S  (VP (V may) (NP (NP (N asong)) (Adv biglang)) (V dumamba))  (NP (P sa) (N akin.))),"(S
  (NP (P sa) (N akin.))
  (VP (V may) (NP (NP (N asong)) (Adv biglang)) (V dumamba)))",(S  (NP (P sa) (N akin.))  (VP (V may) (NP (NP (N asong)) (Adv biglang)) (V dumamba))),sa akin. may asong biglang dumamba,To/at/in [akin.] have/has/there is dog suddenly jumped
Sino'ng darating?,sino'ng darating?,Who is coming?,True,(S (Interrogative sino'ng) (N darating?)),(S (Interrogative sino'ng) (N darating?)),(S (Interrogative sino'ng) (N darating?)),(S (Interrogative sino'ng) (N darating?)),sino'ng darating?,Who is [darating?]
Magaling na atleta si Ken.,magaling na atleta si ken.,Ken is quite an athlete.,True,(S (V magaling) (NP (Adv na) (NP (N atleta))) (NP (DET si) (N ken.))),(S (V magaling) (NP (Adv na) (NP (N atleta))) (NP (DET si) (N ken.))),(S (V magaling) (NP (Adv na) (NP (N atleta))) (NP (DET si) (N ken.))),(S (V magaling) (NP (Adv na) (NP (N atleta))) (NP (DET si) (N ken.))),magaling na atleta si ken.,Good/skillful now/already athlete [si] [ken.]
Nakita ko ang asong dumamba sa silid.,nakita ko ang asong dumamba sa silid.,I saw the dog jump into the room.,True,"(S
  (VP
    (V nakita)
    (Pronoun ko)
    (NP (NP (DET ang) (N asong)) (V dumamba)))
  (NP (P sa) (N silid.)))",(S  (VP   (V nakita)   (Pronoun ko)   (NP (NP (DET ang) (N asong)) (V dumamba)))  (NP (P sa) (N silid.))),"(S
  (NP (P sa) (N silid.))
  (VP
    (V nakita)
    (Pronoun ko)
    (NP (NP (DET ang) (N asong)) (V dumamba))))",(S  (NP (P sa) (N silid.))  (VP   (V nakita)   (Pronoun ko)   (NP (NP (DET ang) (N asong)) (V dumamba)))),sa silid. nakita ko ang asong dumamba,To/at/in [silid.] saw [ko] [ang] dog jumped
Naglakad ako nang mabilis para maabutan ang unang tren.,naglakad ako nang mabilis para maabutan ang unang tren.,I walked quickly so that I might catch the first train.,True,"(S
  (V naglakad)
  (NP
    (NP
      (NP (NP (NP (Pronoun ako)) (Adv nang)) (Adv mabilis))
      (PP (P para) (V maabutan) (NP (DET ang) (Adj unang))))
    (N tren.)))",(S  (V naglakad)  (NP   (NP    (NP (NP (NP (Pronoun ako)) (Adv nang)) (Adv mabilis))    (PP (P para) (V maabutan) (NP (DET ang) (Adj unang))))   (N tren.))),"(S
  (V naglakad)
  (NP
    (NP
      (NP (NP (NP (Pronoun ako)) (Adv nang)) (Adv mabilis))
      (PP (P para) (V maabutan) (NP (DET ang) (Adj unang))))
    (N tren.)))",(S  (V naglakad)  (NP   (NP    (NP (NP (NP (Pronoun ako)) (Adv nang)) (Adv mabilis))    (PP (P para) (V maabutan) (NP (DET ang) (Adj unang))))   (N tren.))),naglakad ako nang mabilis para maabutan ang unang tren.,Walked i when/of/so that quickly for catch up [ang] first [tren.]
Huwag mo kalimutang magdala ng kape.,huwag mo kalimutang magdala ng kape.,nan,True,"(S
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V magdala))
  (NP (P ng) (N kape.)))",(S  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V magdala))  (NP (P ng) (N kape.))),"(S
  (NP (P ng) (N kape.))
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V magdala)))",(S  (NP (P ng) (N kape.))  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V magdala))),ng kape. huwag mo kalimutang magdala,Of [kape.] don't you/your forget to bring
Nakita ko ang anak niyang babae.,nakita ko ang anak niyang babae.,nan,True,"(S
  (VP (V nakita) (Pronoun ko) (NP (DET ang) (N anak)))
  (NP (NP (Pronoun niyang)) (N babae.)))",(S  (VP (V nakita) (Pronoun ko) (NP (DET ang) (N anak)))  (NP (NP (Pronoun niyang)) (N babae.))),"(S
  (NP (NP (Pronoun niyang)) (N babae.))
  (VP (V nakita) (Pronoun ko) (NP (DET ang) (N anak))))",(S  (NP (NP (Pronoun niyang)) (N babae.))  (VP (V nakita) (Pronoun ko) (NP (DET ang) (N anak)))),niyang babae. nakita ko ang anak,His/her [babae.] saw [ko] [ang] child/son/daughter
